t,Angle,dAngle,P,I,D,k_speed,Speed,power,powerL,powerR,accX,accY,accZ,gyroX,gyroY,gyroZ
0.001505136489868164,0.67,24.06,-10.0,0.0,-24.06,-0.0,0.0,-45.0,1455.0,1545.0,0.033,-0.266,1.544,24.06,-59.2,-0.17
0.002254962921142578,-3.64,50.06,54.63,0.0,-50.06,-0.0,0.0,3.0,1503.0,1497.0,0.02,-0.242,1.623,50.06,10.01,2.34
0.046549081802368164,0.45,56.23,-6.79,0.0,-56.23,-0.0,0.0,-85.0,1415.0,1585.0,0.008,-0.184,1.792,56.23,79.65,-3.34
0.14748692512512207,9.36,69.96,-140.4,0.0,-69.96,-0.0,0.0,-283.0,1217.0,1783.0,0.057,-0.13,2.826,69.96,82.95,-4.44
0.24626493453979492,-0.55,-1.33,8.28,0.0,1.33,-0.0,0.0,7.0,1507.0,1493.0,0.04,-0.212,1.794,-1.33,91.43,4.9
0.3463449478149414,-5.12,21.31,76.82,0.0,-21.31,-0.0,0.0,41.0,1541.0,1459.0,-0.029,-0.18,1.38,21.31,37.23,-0.96
0.4465639591217041,1.58,20.76,-23.63,0.0,-20.76,-0.0,0.0,-59.0,1441.0,1559.0,0.029,-0.199,1.909,20.76,-13.06,-1.39
0.5469582080841064,8.2,28.33,-122.98,0.0,-28.33,-0.0,0.0,-204.0,1296.0,1704.0,0.053,-0.142,1.648,28.33,9.22,-2.12
0.6467981338500977,9.51,49.57,-142.63,0.0,-49.57,-0.0,0.0,-259.0,1241.0,1759.0,-0.031,-0.137,1.698,49.57,-1.52,5.33
0.7475090026855469,18.56,124.65,-278.47,0.0,-124.65,-0.0,0.0,-500.0,1000.0,2000.0,0.029,-0.349,2.046,124.65,0.8,2.03
0.8483610153198242,32.94,266.74,-494.16,0.0,-266.74,-0.0,0.0,-500.0,1000.0,2000.0,-0.16,0.067,1.988,266.74,8.55,-5.72
0.9444589614868164,49.72,540.66,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,-0.024,0.983,2.056,540.66,9.59,-15.06
1.0446248054504395,54.7,83.63,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.132,0.795,3.84,83.63,-56.52,-7.12
1.1448330879211426,54.39,-21.11,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.066,1.089,2.669,-21.11,-6.22,-14.2
1.2436878681182861,53.96,2.03,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.036,0.971,2.584,2.03,0.06,0.02
1.3442559242248535,55.09,-2.12,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.015,0.991,2.602,-2.12,-0.12,-0.47
1.4443268775939941,55.13,0.68,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.014,0.994,2.608,0.68,-0.06,0.14
1.54402494430542,55.2,0.38,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.018,0.984,2.597,0.38,-0.12,-0.04
1.64400315284729,55.37,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.018,0.986,2.597,-0.35,-0.06,-0.17
1.7439208030700684,55.49,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.016,0.987,2.599,0.01,-0.06,-0.04
1.8444008827209473,55.59,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.013,0.985,2.601,0.2,-0.06,-0.04
1.9449548721313477,60.37,-95.32,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.075,1.07,2.908,-95.32,-9.82,-0.9
2.045689821243286,65.45,-173.21,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.075,0.861,2.809,-173.21,-114.25,117.88
2.145766019821167,47.97,-176.81,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.179,0.397,2.542,-176.81,-109.56,124.59
2.2483651638031006,33.56,-135.61,-503.47,0.0,135.61,-0.0,0.0,-496.0,1004.0,1996.0,0.195,0.043,2.136,-135.61,-43.7,66.24
2.3481550216674805,15.12,-149.4,-226.78,0.0,149.4,-0.0,0.0,-104.0,1396.0,1604.0,-0.022,-0.135,1.736,-149.4,-6.47,40.36
2.4483330249786377,13.2,-112.78,-198.0,0.0,112.78,-0.0,0.0,-115.0,1385.0,1615.0,-0.067,-0.306,1.973,-112.78,-25.45,31.76
2.5461859703063965,3.03,-51.5,-45.41,0.0,51.5,-0.0,0.0,4.0,1504.0,1496.0,0.004,-0.198,1.509,-51.5,32.23,7.95
2.647118091583252,-2.59,-48.75,38.8,0.0,48.75,-0.0,0.0,65.0,1565.0,1435.0,-0.027,-0.098,1.414,-48.75,2.32,3.86
2.7459540367126465,-5.35,67.21,80.32,0.0,-67.21,-0.0,0.0,9.0,1509.0,1491.0,0.068,-1.352,1.539,67.21,4.15,-0.78
2.8462729454040527,-1.07,14.6,15.98,0.0,-14.6,-0.0,0.0,1.0,1501.0,1499.0,0.007,-0.227,1.531,14.6,15.32,-26.66
2.947577953338623,-4.05,137.28,60.73,0.0,-137.28,-0.0,0.0,-103.0,1397.0,1603.0,-0.106,-0.115,1.735,137.28,109.5,-3.16
3.046983003616333,-0.24,57.32,3.62,0.0,-57.32,-0.0,0.0,-72.0,1428.0,1572.0,-0.005,-0.14,1.395,57.32,15.08,-6.21
3.147304058074951,9.85,80.21,-147.69,0.0,-80.21,-0.0,0.0,-307.0,1193.0,1807.0,-0.07,-0.284,1.648,80.21,-2.5,-1.14
3.248462200164795,23.72,229.5,-355.82,0.0,-229.5,-0.0,0.0,-500.0,1000.0,2000.0,0.011,0.167,1.838,229.5,19.53,-16.1
3.348504066467285,42.98,481.95,-644.64,0.0,-481.95,-0.0,0.0,-500.0,1000.0,2000.0,-0.012,0.602,2.451,481.95,10.99,-43.81
3.4449989795684814,45.85,63.49,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.308,1.277,2.299,63.49,-47.73,-210.43
3.5444839000701904,52.83,11.3,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.022,1.132,2.643,11.3,1.16,0.2
3.645009994506836,54.33,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.018,0.971,2.587,-0.17,-0.18,-0.17
3.7444629669189453,55.11,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.001,0.984,2.601,-0.17,0.0,0.02
3.8442068099975586,55.31,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.013,0.978,2.605,-0.23,-0.06,-0.1
3.9446840286254883,55.47,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.011,0.981,2.6,-0.05,0.0,-0.17
4.04414701461792,55.56,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.016,0.976,2.603,0.07,0.0,-0.1
4.1451029777526855,58.53,-5.3,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.061,1.036,2.717,-5.3,-4.09,-2.42
4.24458909034729,55.3,20.03,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,-0.002,1.06,2.581,20.03,-2.99,-12.86
4.345616817474365,64.41,-138.23,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,-0.088,1.23,2.949,-138.23,-52.0,59.4
4.44545316696167,59.8,-399.28,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.228,0.847,2.743,-399.28,-64.57,110.92
4.548480987548828,30.36,-117.3,-455.39,0.0,117.3,-0.0,0.0,-456.0,1044.0,1956.0,0.19,0.516,1.953,-117.3,-27.83,119.1
4.647652864456177,-3.17,-175.16,47.55,0.0,175.16,-0.0,0.0,167.0,1667.0,1333.0,0.163,-0.099,1.481,-175.16,88.63,65.32
4.747151851654053,-0.12,-177.54,1.76,0.0,177.54,-0.0,0.0,134.0,1634.0,1366.0,-0.106,-0.214,1.833,-177.54,-52.43,-9.93
4.847301959991455,-12.82,-3.28,192.24,0.0,3.28,-0.0,0.0,146.0,1646.0,1354.0,-0.199,-0.244,1.33,-3.28,86.73,32.12
4.947658061981201,-15.09,-30.69,226.29,0.0,30.69,-0.0,0.0,192.0,1692.0,1308.0,-0.127,-1.58,0.922,-30.69,-19.16,14.54
5.04706597328186,-1.57,35.35,23.58,0.0,-35.35,-0.0,0.0,-15.0,1485.0,1515.0,0.085,-0.326,1.636,35.35,36.62,-13.65
5.147878885269165,-15.56,42.8,233.46,0.0,-42.8,-0.0,0.0,142.0,1642.0,1358.0,-0.221,-0.139,1.165,42.8,14.83,-42.83
5.247895002365112,3.99,152.78,-59.88,0.0,-152.78,-0.0,0.0,-287.0,1213.0,1787.0,-0.002,-0.196,2.302,152.78,21.3,-6.51
5.347342014312744,4.18,12.89,-62.71,0.0,-12.89,-0.0,0.0,-102.0,1398.0,1602.0,-0.063,-0.218,1.759,12.89,-6.04,4.72
5.445936918258667,10.89,120.07,-169.66,0.0,-88.03,-0.0,0.0,-347.0,1153.0,1847.0,-0.124,-0.18,1.982,120.07,-5.37,0.26
5.548508882522583,26.36,260.75,-395.45,0.0,-260.75,-0.0,0.0,-500.0,1000.0,2000.0,-0.068,0.184,2.125,260.75,9.16,-6.21
5.644350051879883,49.78,498.3,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,-0.061,0.785,2.162,498.3,6.66,-37.28
5.744400978088379,46.31,143.99,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.271,1.117,2.122,143.99,-17.58,-42.04
5.844750165939331,50.94,16.92,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.075,1.12,2.719,16.92,-4.15,-21.96
5.945005178451538,54.86,-4.26,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.022,1.001,2.595,-4.26,-0.24,-0.59
6.04466986656189,55.15,0.81,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.018,1.0,2.613,0.81,-0.06,0.14
6.14558482170105,55.19,0.93,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.018,0.993,2.605,0.93,0.0,0.08
6.244568109512329,55.31,0.44,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.019,0.992,2.599,0.44,0.0,-0.04
6.344563961029053,55.36,5.99,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,-0.025,1.008,2.573,5.99,0.43,-0.41
6.445167779922485,66.8,-249.32,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.024,1.132,2.94,-249.32,-56.09,9.66
6.547879934310913,41.39,-490.71,-620.82,0.0,490.71,-0.0,0.0,-175.0,1325.0,1675.0,0.116,0.321,2.075,-490.71,-164.12,50.98
6.648099184036255,22.95,-112.78,-344.18,0.0,112.78,-0.0,0.0,-312.0,1188.0,1812.0,0.093,0.04,1.792,-112.78,-22.52,95.78
6.747627019882202,-6.91,-183.83,103.66,0.0,183.83,-0.0,0.0,215.0,1715.0,1285.0,0.183,-0.279,1.26,-183.83,19.66,89.86
6.847198009490967,-8.1,-83.73,121.53,0.0,83.73,-0.0,0.0,153.0,1653.0,1347.0,-0.169,-0.127,1.358,-83.73,16.3,-10.73
6.9460039138793945,-16.31,-29.28,255.21,0.0,47.53,-0.0,0.0,227.0,1727.0,1273.0,-0.056,-0.082,1.435,-29.28,5.44,21.07
7.04699182510376,-7.3,31.26,109.57,0.0,-31.26,-0.0,0.0,58.0,1558.0,1442.0,-0.033,-0.131,1.428,31.26,-7.44,11.06
7.146766185760498,-6.11,45.97,91.6,0.0,-45.97,-0.0,0.0,34.0,1534.0,1466.0,-0.07,-0.263,1.557,45.97,75.69,-9.32
7.24685001373291,-3.64,22.78,54.65,0.0,-22.78,-0.0,0.0,23.0,1523.0,1477.0,0.064,-0.262,1.448,22.78,47.18,-4.5
7.347334861755371,3.6,16.0,-53.93,0.0,-16.0,-0.0,0.0,-94.0,1406.0,1594.0,-0.011,-0.213,1.638,16.0,-2.19,-2.55
7.447451829910278,7.08,91.75,-106.19,0.0,-91.75,-0.0,0.0,-267.0,1233.0,1767.0,0.031,-0.168,1.719,91.75,-15.93,2.46
7.548310995101929,16.55,192.52,-248.22,0.0,-192.52,-0.0,0.0,-500.0,1000.0,2000.0,0.034,0.091,1.799,192.52,10.2,-6.88
7.648514032363892,37.92,371.66,-568.81,0.0,-371.66,-0.0,0.0,-500.0,1000.0,2000.0,-0.08,0.205,2.176,371.66,24.11,-28.49
7.7449049949646,131.38,216.08,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,-0.148,2.89,5.5,216.08,-43.45,-36.3
7.844998836517334,56.95,-20.68,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.039,0.931,2.489,-20.68,-1.52,-3.71
7.945149898529053,54.84,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.041,0.981,2.587,-0.23,-0.24,0.26
